name step1 step2 step3 weight
conformer_256bs_12layers_256dim_1024dff_4heads_17depthwiseconv_0gammapos_1gammaneg_01clip_01channeldropout 12420 10800 4680 0.6
conformer_256bs_2layers_512dim_2048dff_8heads_31depthwiseconv_0gammapos_2gammaneg_02clip 7200 7380 17640 1.0
conformer_256bs_2layers_768dim_3072dff_16heads_17depthwiseconv_0gammapos_2gammaneg_0.2clip 4860 9180 3960 0.3
conformer_256bs_4layers_256dim_1024dff_4heads_31depthwiseconv_0gammapos_2gammaneg_02clip 12600 14580 18180 0.3
conformer_256bs_4layers_768dim_3072dff_16heads_31depthwiseconv_0gammapos_1gammaneg_01clip_01channeldropout 8280 7740 5220 1.0
conformer_256bs_4layers_768dim_3072dff_16heads_31depthwiseconv_0gammapos_2gammaneg_0.2clip 5760 6120 4680 0.6
conformer_256bs_6layers_256dim_1024dff_4heads_17depthwiseconv_0gammapos_2gammaneg_02clip 12060 13140 14940 0.6
conformer_256bs_8layers_512dim_2048dff_16heads_9depthwiseconv_1gammapos_1gammaneg_0.05clip 8820 9720 11700 1.0
conformer_256bs_8layers_512dim_2048dff_8heads_17depthwiseconv_0gammapos_2gammaneg_02clip_01channeldropout 9540 6300 15300 0.6
conformer_torchaudio_256bs_6layers_512dim_2048dff_8heads_31depthwiseconv_0gammapos_2gammaneg_02clip 5400 6480 7380 1.0
conformer_torchaudio_256bs_8layers_512dim_2048dff_8heads_17depthwiseconv_0gammapos_2gammaneg_02clip 4320 7560 4500 1.0
inception_baseline_40epochs_256bs_256outchannels_kernels-31-17-9_constant_lr_focal_loss_async_0gammapos_2gammaneg_02clip_mean_reduction 9540 12060 6660 0.3
inception_baseline_40epochs_256bs_5blocks_256outchannels_kernels-31-17-11-7-5_constant_lr_focal_loss_async_0gammapos_2gammaneg_02clip_mean_reduction 8100 12780 12240 0.6
resnet_1convblockversion_512midchannels_9-5-3kernels_01channeldropout_0gammapos_1gammaneg_01clip 7560 8640 8100 1.0
resnet_2convblockversion_256midchannels_8-5-3kernels_0.0blockdropout_0gammapos_2gammaneg_0.1clip 5400 5580 6840 0.6
resnet_2convblockversion_256midchannels_9-5-3kernels_01channeldropout_0gammapos_2gammaneg_02clip 12780 11340 9720 1.0
transformer_custom_v5_256bs_5layers_512dim_2048dff_8heads_01dropout_constant_lr_relative_key_query_attn_pool_focal_loss_gamma1_noalpha_reduce_lr_on_plateau_window9 6840 13320 14940 0.3
transformer_custom_v5_256bs_6layers_512dim_2048dff_8heads_31window_relative_key_query-emb_1gammapos_4gammaneg_0.05clip 5580 5580 9540 0.6
