track,tags
49734,"5,6,9,26,32,55,96"
67845,"6,9,28,39,145,155"
25302,"0,6,28,40,116,168"
57796,"28,186"
13676,"6,23,177"
29968,"43,183,252"
38652,"0,10,48"
23887,"35,112,191"
44661,"0,16"
26449,"6,9,32,85,122"
16511,"6,145,187,241"
32609,"0,8,40,248"
43932,"0,1,8,12,13"
13941,"0,7,8,38,80"
20065,"6,145,241"
53370,"1,5,15,35,64,70,99,165"
62174,"1,5,104,172"
52322,"0,2,8,32,51"
41853,"1,15,25,71,92,99"
58614,"0,8,30,51"
22115,"3,35,55,73,112,146,198"
34257,"6,122"
63054,"0,1,2,8,128"
850,"6,145,170"
2980,"6,215"
31505,"0,80,100,156"
27354,"0,4,7,16,88"
38840,"0,2,8,9,24,40,141"
71885,"0,4,7,8"
7290,"0,7,57"
5201,"6,215"
22749,"6,158"
23811,"2,6,9,26,32,47,103,117,151"
2248,"0,28,182"
57495,"0,5,8,10,80"
36136,"0,2,8,51"
45537,"9,45,47"
42745,"1,5,45,75,119"
16219,"9,28,35,112"
56099,"6,9,81,117,175,187,241"
21128,"0,1,43,98,225"
13578,"0,57,63,142"
37938,"0,10,12,97,100,132"
18328,"35,143,244"
14377,"1,2,13,196"
28125,"0,10,73"
25576,"0,3,22,31,40,84"
32786,"9,32,85,155"
75197,"9,47"
29066,"9,23,134,169"
40507,"5,89,104,164"
66505,"0,14,38,130"
60695,"1,11,50,178"
9731,"5,63,68,118,157"
48640,"2,9,26,32,45,231"
7422,"0,16,40,128"
30991,"0,2,24,26,41"
44738,"0,2,8,61"
5959,"0,18,80"
76150,"2,5,75"
50115,"2,6,61,101"
68596,"0,2,8,51"
76299,"0,1,48,84"
63235,"6,9,32,45,81,103"
32004,"0,22,30"
62651,"0,48,84"
45551,"0,16,163,240"
6942,"6,43,63,72,98,121"
50984,"0,1,8,45"
53279,"0,16,128"
44212,"1,11,229"
36273,"0,8,16,48"
24861,"1,71,92,113"
34138,"2,23,160"
18598,"6,117"
56345,"2,26,41,104"
13650,"0,2,8,38,51"
12784,"0,2,36"
16911,"5,68,102,254"
71152,"0,16,128"
8406,"1,21,37,83,219"
26338,"1,21,37,83,219"
59228,"1,92,119,223"
23712,"0,28,46,59,85"
36433,"28,168,221"
23006,"5,68,133"
28967,"0,1,5,12,70,74,75,90"
6170,"5,89,230"
17155,"0,1,2,15,36,209"
54703,"0,5,18,68,103"
52898,"1,2,13,17,86,119,239,250"
50775,"2,23,204"
14641,"0,16"
10535,"35,73,112,233"
21484,"35,73,112,233"
23472,"0,3,4,31,34"
21861,"6,93,117,194,240"
32603,"0,28,168"
29569,"1,54,99,123,167"
15493,"3,23,35,134,169,191"
53801,"35,73,112,233"
10434,"35,73,112,233"
59973,"2,24,26,252"
64685,"1,15,92,218"
3142,"0,1,17,29,96"
15740,"35,112,146"
35707,"0,1,4,37,99"
12191,"0,69"
16053,"35,143,146"
19741,"0,18,20"
37208,"5,133"
39110,"0,9,32,51,69,116"
41029,"0,8,31,69,128"
7997,"0,8,9,22,32,40,59,69,130"
25454,"0,2,8,59,69"
437,"2,6,24,101"
74381,"0,2,8,24,46"
56582,"1,2,24,36"
64525,"35,143,244"
4987,"23,35,73,173,234,244"
35424,"1,15,25,43,121,195,252"
25515,"6,9,47,81,116"
29510,"5,133"
18310,"5,118"
33725,"6,103"
7842,"6,9,28,85,117"
75491,"0,1,4,140,149"
31864,"6,158"
37330,"0,4,27,211"
47918,"35,191"
62937,"0,1,17,29,48"
51914,"1,3,6,11,72,93"
66868,"0,16,51,163"
34846,"0,18,80"
6145,"6,145"
37579,"0,6,8,9,31,32,40,103,116"
37291,"3,6,81,170,240"
66354,"3,19,200"
71532,"2,8,9,47,75,141"
64076,"0,1,2,8,26,86"
28546,"0,3,22,28,40"
26524,"1,9,32,45,47"
20102,"0,49"
29222,"6,177"
6044,"1,9,17,32,47"
58711,"0,7,30,52,132"
16434,"0,1,2,17,87"
40441,"0,2,26,51"
27618,"3,19,106,147"
69236,"0,30"
21552,"0,84,163"
1419,"0,8,23,169,173,207"
60560,"0,7,23,31,40,84"
16397,"1,2,5,11,23,26,55,86,99,196"
532,"0,4,22,209"
25156,"5,68,102,118"
25182,"2,5,75,104"
9905,"5,68,118,127,133"
75867,"0,22,38,51"
23381,"0,3,34,38,46"
19910,"0,2,8,26,41,86"
74728,"2,5,9,35,55,75"
74374,"9,55"
33070,"0,216"
1530,"0,2,8,115"
64614,"0,2,8,115"
4506,"0,91"
37734,"0,4,149,226"
775,"2,5,26,75,104"
54808,"0,22,51"
58516,"1,2,9,25,26,32,55"
67226,"0,130"
12671,"5,89,127"
74066,"0,51"
26576,"0,1,2,8,13,48"
26867,"2,5,104"
5863,"2,23,24,26,173"
39288,"9,32,47,202"
12824,"2,23,173"
62607,"2,23,173"
44981,"1,2,25,41"
27750,"3,34"
68494,"1,6,9,45,47,103"
15849,"23,173"
59179,"0,2,6,23,36,99,122,169,177,214,228,234"
46617,"2,6,9,23,35,134,169"
49074,"0,9,31,32,202"
9455,"2,41"
44651,"6,101,117,122,162"
53298,"0,14"
62846,"0,1,2,7,17,48"
37950,"0,33,56"
47494,"1,5,23,180"
73048,"0,2,51,194"
66759,"2,26,41"
61444,"2,61"
578,"6,122,162"
65407,"0,46,130"
29075,"0,46"
3580,"6,81,177"
19576,"0,10,35,73,191"
47967,"6,103,117"
8715,"6,158"
68206,"3,238"
41690,"5,89,127"
55198,"0,1,6,12,84,116"
67003,"0,1,4,11,12,29,148"
45030,"6,175"
69855,"0,4,14,16,130,226"
19357,"1,167,243"
37175,"6,39,63,158"
29790,"0,30"
34650,"1,6,12,123,243"
37494,"6,81,103"
38548,"6,35,73,81,233"
7315,"6,9,81,103"
52218,"6,116,175"
22750,"0,1,8,9,45,51"
55443,"1,6,39,43,72"
5974,"6,39,93"
22159,"28,186,221"
60889,"3,23,160,234"
38345,"9,85"
39901,"1,44,167"
69591,"2,26,61"
34878,"6,93"
68330,"9,85,141"
26392,"0,1,2,15,45,51"
1348,"23,160"
35009,"0,4,5,226"
73742,"2,61"
15752,"0,46,114"
60231,"0,2,194"
49397,"1,35,219"
34385,"2,6,9,45,47"
37360,"1,35,64"
20104,"0,2,7,8,115"
28282,"1,2,6,11,13,15,101,131"
60259,"9,32,47"
65033,"0,8,30,73,84"
7540,"0,1,31,149,159"
20783,"0,1,13,17,29,66"
67823,"0,6,9,32,69,116"
63772,"35,112"
21708,"0,226"
55145,"6,122"
13046,"3,236"
10507,"6,24,122,162"
17208,"1,15,50"
62928,"0,18,20,42"
25753,"0,33,126,181"
74005,"2,6,9,23,28,36,187"
2553,"0,6,22,232"
4249,"0,33"
28743,"2,23,173"
4407,"2,6,122"
61193,"0,1,31,149,159,255"
12955,"28,221"
10753,"3,23,173,246"
23739,"23,173,234"
3303,"23,173,234"
13594,"0,10,18,35,73"
16214,"0,5,10,35,73,244"
32935,"0,14,18,49"
26135,"0,10,91"
18854,"0,46,59"
38629,"0,1,12,65,95"
60741,"35,143"
35772,"6,215"
61495,"43,121"
76135,"0,4,226"
3411,"1,6,123,167"
60153,"5,102"
52533,"9,23,32,47,198"
35356,"0,20"
2468,"0,7,253"
47299,"2,5,9,55,157,254"
21151,"0,8,9,16,32,85,125"
71686,"23,173,228"
42373,"2,5,9,43,55,121,155,194"
34614,"2,23,160,234"
41447,"1,35,64,112"
68710,"6,9,23,117,151,246"
31253,"6,23,151,173,228"
73461,"2,5,23,24,26,160"
4786,"1,6,15,17,167"
69392,"0,2,3,6,8,9,19,22,32,40,47,59,103,116,117,187"
923,"43,252"
43770,"0,3,28,34,40,186"
45378,"0,3,7,19,22"
68210,"35,112,143"
23394,"0,4,77"
53939,"0,22,95,176"
52871,"0,31,85,213"
52921,"1,2,13"
13823,"28,186,247"
37313,"0,111,132"
66734,"0,10,46"
69218,"0,7,59,90"
17217,"5,58,254"
37532,"35,146"
24019,"2,3,6,28,182,186"
7733,"5,104,227"
73556,"2,9,24,26,55"
25897,"0,84,135"
62012,3
71232,"0,2,23,73,160,234"
52812,"35,64,146"
17967,"6,241"
24471,"9,45,47,231"
70199,"3,34"
17973,"1,2,9,23,26,41,55,86,239"
67796,"0,176"
11270,"0,52,132"
22902,"0,7,22,31,77,84,129"
46645,"0,8,31,57"
24894,"2,23,26,207"
54634,"0,2,4,9,38,47"
46065,"0,79"
75984,"0,14,16"
46441,"0,30,31,149"
48122,"0,2,8,26,51"
73184,"3,238"
21300,"43,195,252"
31791,"0,1,4,7,74"
55759,"5,9,47,104"
31667,"0,6,81"
1148,"6,145,187"
37763,"1,11,15,37,99,131"
34202,"0,2,8,23,26,51,125,173"
16742,"3,34,43,121"
74158,"0,35,73,112,233"
4580,"35,146"
28449,"2,5,24,26,75,104"
41217,"2,6,61"
23327,"0,2,40,46"
28259,"3,9,47,124,198"
74700,"23,169"
27252,"0,8,31,69"
33321,"1,21,71,210"
28729,"0,67"
72596,"6,81,116,187,201,241"
20824,"0,4,140"
76100,"5,133"
43388,"0,33,120"
3903,"3,106"
40575,"0,67"
54641,"23,134"
31609,"0,4,16"
55733,"6,145,158"
75845,"35,146"
252,"1,2,13,17,25,239"
57501,"0,16,140"
50532,"2,26"
56326,"0,3,14,126"
72063,"1,9,15,32,62"
41598,"0,14,79"
2145,"9,32,55"
37387,"0,4,38,90"
9712,"6,151"
53128,"3,236,248"
34802,"3,236"
45814,"3,236"
43809,"3,236"
58955,"0,4,10"
33137,"6,24,26,117,145,158,177,241"
7621,"1,218,223"
65459,"1,18,218,223"
31472,"1,18,218,223"
23678,"2,26,176"
24388,"1,5,9,167,243"
16372,"1,2,15,41,119,196"
34600,"0,2,8,31,213"
31597,"6,39,201"
7087,"6,39,175"
41595,"6,145,215"
8731,"6,39,170,175"
53428,"1,92,218"
66963,"1,119"
9529,"0,1,2,13,17,29,66"
18992,"43,225"
46097,"6,122,155,158"
67717,"0,6,9,28,40,81"
17240,"1,17,21"
62396,"0,22,135"
45795,"0,1,4,12,67"
16861,"1,53,144,237"
75816,"0,115,142"
69930,"1,11,21,92,144"
39999,"1,15,50,165"
13969,"0,14"
31682,"6,9,23,117,158,241"
25826,"6,23,93,151,169"
30768,"0,1,5,6,37,94,96"
66634,"0,107"
11680,"6,122"
8837,"0,4,23,134"
29194,"1,171"
57654,"23,173"
30681,"23,35,112,143,146,191,244"
69422,"0,22,43,225"
73823,"0,20,33"
48573,"1,21"
10656,"1,12,17,21,108"
39634,"1,25"
22604,"1,21,144,237"
2053,"2,9,24,26,32"
2278,"1,113"
22016,"1,25,45,161"
55807,"0,33,65,181,189"
12990,"1,218"
36307,"1,12,18,29,54,192,220"
10368,"0,14,88,130"
8969,"0,7,57"
69188,"2,26,41"
28756,"0,7,31,211"
69817,"0,2,8,12,31,84,142"
53171,"5,102,127"
70391,"2,3,19,26,240"
12837,"28,221"
30319,"28,168"
51825,"3,6,23,162,214,234"
63482,"6,145,158,241"
12753,"6,145,158,241"
15134,"2,24,26,43,252"
1514,"0,28,40,168"
23029,"3,34"
56429,"1,18,224"
67475,"3,238"
69304,"5,6,63,230"
40135,"1,2,5,15,26,41,104,119,196"
6468,"1,9,17,29,47,64"
28137,"1,17,66"
38561,"2,41"
36803,"0,16,125"
40594,"1,43,72,137"
16902,"2,24,41"
53169,"0,10,166"
42963,"1,219"
58168,"6,158"
50011,"1,35,64,143,244"
72935,"2,23,26,36"
14491,"0,3,6,9,15,52,81,95,116,121,131,202"
9896,"0,105"
40048,"32,35,73,233"
28266,"35,143,244"
58474,"0,4,10,97,255"
16378,"6,23,151,177,204"
23549,"0,40,59,130,231"
53334,"0,100"
75415,"0,2,27,70,154"
5900,"0,29,33,105"
64369,"6,81"
70759,"5,197,254"
29448,"1,15,64,180"
53277,"1,13,15,27,50,74,203"
76112,"1,5,9,12,47,202"
3847,"1,78,92,199"
16831,"6,9,28,39,93,117"
34102,"2,24,43,121,137,183"
44453,"5,9,68,141"
6087,"0,8,49,91"
7975,"1,3,11,131"
58966,"0,20,188"
72440,"6,11,98"
74466,"2,41"
38895,"0,14,18,30,38"
61812,"0,59,130"
25437,"1,5,9,12,68,141"
31551,"6,101"
73342,"2,3,19"
12994,"0,30,56,105,129"
65511,"0,20,235"
51125,"0,94,226"
52826,"1,2,26,41,119"
37401,"2,3,19,26,225"
28707,"1,71,83,113"
37277,"35,143"
30247,"1,11,15,50,138"
21984,"1,62,174"
8051,"43,195"
20934,"1,37"
14387,"1,17,29"
28421,"1,44"
30778,"0,3,19,28,34,38"
21661,"1,5,254"
17655,"5,89,197"
50133,"9,32,45"
53637,"1,3,6,9,44,123,198"
58603,"0,14,79"
41403,"9,141"
76585,"1,9,15,23,141,204"
18429,"1,6,12,138,201"
54122,"3,15,131"
69829,"6,145,215"
14867,"43,183"
17760,"6,122,158"
50893,"1,43,72,101,194"
35042,"0,1,11,22,98"
43238,"3,238"
57246,"0,7,211"
17726,"5,102,197"
25864,"5,17,68,89,254"
66346,"1,92,144"
63418,"0,2,8,128"
62765,"2,26,41,55"
15159,"0,7,8,211"
50076,"0,6,12,81,116"
49989,"0,1,7,48,87"
65182,"1,25,44"
147,"1,3,12,19,43,106,135,137,200,225"
58020,"1,3,78,92,131,199"
12044,"3,23,173,207,228"
34619,"3,23,173,207,228"
37364,"0,9,30,31,43,47,121,252"
33342,"0,4,94,189"
33037,"1,15,27,70"
45502,"1,18"
63118,"1,37,62"
29032,"1,25,44,83,123"
61022,"1,6,17,25,167,232"
73598,"1,9,45,203"
6061,"1,18"
24756,"5,89,127,197,254"
24847,"0,33,152"
20417,"0,10,156"
21972,"23,134,169"
63045,"2,41,51,61"
15156,"1,15,23,123,180,204"
35136,"1,11,98,129"
67941,"1,18,50,224"
28819,"3,106"
64176,"0,1,48,60"
57800,"1,210"
55106,"1,5,9,96"
70706,"0,1,3,9,15,19,32,38,70,90,96,123,141,178"
48379,"0,16,40"
7559,"6,145"
18735,"3,9,47,198"
39072,"1,29,66"
20998,"1,11,15,44,123,180,209"
55479,"1,12,76"
69948,"6,23,134,151,169,177"
9509,"35,64"
37333,"1,11,72"
36426,"1,11,17,53,70,71,96,109,138"
60970,"1,18,224"
17919,"1,92,113"
16280,"0,2,8,28,31,46,51,59,125,163"
39260,"3,6,23,101,151,162,246"
22214,"1,5,15,70"
35167,"0,10,18"
75763,"2,19,38,155,194"
2262,"0,6,9,28,46,85,122,231"
15909,"0,1,13,17,48"
25962,"5,9,104"
42066,"1,21,44,237"
10896,"1,83"
61013,"0,10,91,156"
60409,"1,78,113"
63678,"0,33,107,120"
49662,"3,26,238"
33316,"1,13,17,21,66,108"
63461,"0,33,181"
55407,"0,17,29,33"
12542,"1,11,64"
46581,"35,146"
55772,"1,11,12,29,248"
64679,"2,43,101,121"
27782,"1,62"
76492,"0,1,11,15,22"
31716,"0,31,57,88"
74548,"23,173"
56589,"0,30,84"
34939,"0,3,34,46,59"
25502,"0,1,2,8,13,86,250"
20082,"0,1,2,8,13,86,250"
27128,"0,18,52,149,189"
3801,"1,13,86"
57813,"23,173"
57612,"23,169"
73317,"23,169"
34544,"23,169"
47806,"23,85,208"
40429,"0,56,153,189"
11923,"0,156"
6752,"6,23,26,228"
9976,"0,88"
65458,"0,1,29,131"
74561,"6,28,101,122,186,201"
6498,"0,28,40,247"
35789,"9,23,47,134,169,204"
33377,"5,75,104"
41550,"1,15,131"
28268,"3,23,124"
2717,"0,1,2,7,13,17"
53584,"1,17,37,131"
56563,"0,30,65"
11505,"0,20,188"
3087,"0,8,31,90"
55274,"1,12,17,35,64,83,206"
4732,"0,18,49,52,80,100"
11069,"0,1,12,159"
11521,"6,23,177,204"
64970,"0,20,42"
5839,"0,1,9,15,17,47,63,70,99,103,202"
60660,"1,2,27,82,150"
28112,"0,1,2,12,31,131,219"
32532,"1,11,43,72"
65961,"2,6,9,28,38,117,141"
